city,score,rank,region,SDG1,SDG2,SDG3,SDG4,SDG5,SDG6,SDG7,SDG8,SDG9,SDG10,SDG11,SDG12,SDG13,SDG15,SDG16,sdg1_depriv : Severe material deprivation rate in cities (%),sdg1_povrisk : People at risk of poverty or social exclusion (%),"sdg2_obesity : Obesity rate (BMI <30), %","sdg3_traffic : Traffic fatalities (per 10,000 population)","sdg3_infmort : Infant mortality rate (under 1) per 1,000 births","sdg3_doctors : General practitioners per (100,000 pop)",sdg3_lifee : Life expectancy (years),sdg3_smoke : Daily smokers (%),sdg3_active : Active lifestyle (%),sdg4_earlyleav : Early leavers from education (% 18-24),sdg4_secondary : Adults with upper secondary education (% 25-64),sdg4_neet : NEET rate (% 15-24),sdg4_edusat : Satisfaction with schools (%),sdg4_earlyedu : Four year-olds in early childhood education (%),sdg4_adultedu : Adult participation in learning (%),sdg4_uni : University appearances in rankings,sdg5_wgap : Gender wage gap (% male wage),sdg5_assemb : Women in regional assemblies (%),sdg5_emplogap : Gender gap in unemployment (%),sdg6_sectreat : Waste water treated (%),sdg6_consew : Population connected to Sewerage Treatment (%),sdg7_renenergy : Renewable energy generated (%),sdg8_gdppc : GDP per capita ,sdg8_gdp : 5 year average of Annual real GDP Growth Rates,sdg8_ltunemp : Long term unemployment Rate (%),sdg9_rd : R&D expenditure (%),sdg9_intcon : Access to Internet at Home (%),sdg9_patents : Patent applicants (per million pop),sdg9_design : Community design applications (per million pop.),sdg9_road : Potential road accessibility ,sdg9_trains : Direct trains to other cities (per million pop.),sdg10_gini : Gini Coefficient (1-100),sdg11_pm25 : Concentration PM2.5 (microgr/m3),sdg11_nox : Emission of nitrogen oxides (kg/km2),sdg11_sathous : Satisfaction affordable housing (%),sdg11_rburden : Housing cost overburden rate in urban areas (%),"sdg11_evstations : Recharging stations (per 10,000 people)",sdg11_satpubtran : Satisfaction public transport (%),sdg11_culture : Satisfaction cultural facilities (%),"sdg11_sights : Sights & landmarks (per 100,000)","sdg11_museums : Museums (per 100,000)","sdg11_concerts : Concerts & shows (per 100,000)",sdg12_munwaste : Municipal waste (kg/capita),sdg12_recycle : Municipal recycling rate (%),sdg12_chemstatgw : Ground water of good chemical status (%),sdg12_chemstatsw : Surface water of good chemical status (%),sdg13_co2 : CO2 Emissions (tonnes per capita),sdg15_nat2000 : Natura 2000 Area in good quality (%),sdg15_urbgreen : Urban green area (%),sdg15_soilseal : Soil sealing (%),sdg15_ecostatsw : Surface Water of Good Ecological Status (%),"sdg16_burglary : Burglaries (per 100,000)","sdg16_rob : Robberies (per 100,000)","sdg16_homicide : Intentional homocides (per 100,000)",sdg16_safety : Perception of neighborhood safety (%),sdg16_govqual : Quality of local government,Dashboard SDG1,Dashboard SDG2,Dashboard SDG3,Dashboard SDG4,Dashboard SDG5,Dashboard SDG6,Dashboard SDG7,Dashboard SDG8,Dashboard SDG9,Dashboard SDG10,Dashboard SDG11,Dashboard SDG12,Dashboard SDG13,Dashboard SDG15,Dashboard SDG16,Dashboard: Severe material deprivation rate in cities (%),Dashboard: People at risk of poverty or social exclusion (%),"Dashboard: Obesity rate (BMI <30), %","Dashboard: Traffic fatalities (per 10,000 population)","Dashboard: Infant mortality rate (under 1) per 1,000 births","Dashboard: General practitioners per (100,000 pop)",Dashboard: Life expectancy (years),Dashboard: Daily smokers (%),Dashboard: Active lifestyle (%),Dashboard: Early leavers from education (% 18-24),Dashboard: Adults with upper secondary education (% 25-64),Dashboard: NEET rate (% 15-24),Dashboard: Satisfaction with schools (%),Dashboard: Four year-olds in early childhood education (%),Dashboard: Adult participation in learning (%),Dashboard: University appearances in rankings,Dashboard: Gender wage gap (% male wage),Dashboard: Women in regional assemblies (%),Dashboard: Gender gap in unemployment (%),Dashboard: Waste water treated (%),Dashboard: Population connected to Sewerage Treatment (%),Dashboard: Renewable energy generated (%),Dashboard: GDP per capita ,Dashboard: 5 year average of Annual real GDP Growth Rates,Dashboard: Long term unemployment Rate (%),Dashboard: R&D expenditure (%),Dashboard: Access to Internet at Home (%),Dashboard: Patent applicants (per million pop),Dashboard: Community design applications (per million pop.),Dashboard: Potential road accessibility ,Dashboard: Direct trains to other cities (per million pop.),Dashboard: Gini Coefficient (1-100),Dashboard: Concentration PM2.5 (microgr/m3),Dashboard: Emission of nitrogen oxides (kg/km2),Dashboard: Satisfaction affordable housing (%),Dashboard: Housing cost overburden rate in urban areas (%),"Dashboard: Recharging stations (per 10,000 people)",Dashboard: Satisfaction public transport (%),Dashboard: Satisfaction cultural facilities (%),"Dashboard: Sights & landmarks (per 100,000)","Dashboard: Museums (per 100,000)","Dashboard: Concerts & shows (per 100,000)",Dashboard: Municipal waste (kg/capita),Dashboard: Municipal recycling rate (%),Dashboard: Ground water of good chemical status (%),Dashboard: Surface water of good chemical status (%),Dashboard: CO2 Emissions (tonnes per capita),Dashboard: Natura 2000 Area in good quality (%),Dashboard: Urban green area (%),Dashboard: Soil sealing (%),Dashboard: Surface Water of Good Ecological Status (%),"Dashboard: Burglaries (per 100,000)","Dashboard: Robberies (per 100,000)","Dashboard: Intentional homocides (per 100,000)",Dashboard: Perception of neighborhood safety (%),Dashboard: Quality of local government
Dublin,61.6,22,Western Europe,73.9,30.3,70.5,70.1,46.8,86.4,34.5,96.9,42.2,70.5,60.3,65.3,41.7,44.9,67.7,6.7,,25.3,0.116,3.198,,81.7,21.1782748658111,38.4131562692135,4.9,82.6,10.7,83,87.3,9.4,8,13.8680033416876,22.2,10.8,,91,,58000,10.3150348279416,2.9,1.5,90,78.06,34.66666667,,,31.8,10.54947581,12.4944595112235,12,6.3,0.904734430781142,75,42,182,89,71,,40.7,,,9.1,69.6428355481353,12.868085106383,47.99072104,,531.311978994993,66.3199413592097,1.2122775287848,89,75.8263,yellow,red,yellow,orange,orange,orange,gray,green,orange,yellow,orange,gray,red,red,orange,yellow,,red,green,green,,green,yellow,green,green,yellow,yellow,green,yellow,orange,green,orange,orange,orange,,orange,,green,green,green,orange,green,orange,orange,,,yellow,yellow,orange,red,green,yellow,green,green,green,green,green,,yellow,,,red,green,red,red,,red,green,green,green,yellow
Marseille,61.4,23,Western Europe,73.2,56.0,59.8,57.4,68.2,98.1,34.5,82.9,52.7,59.5,47.2,61.8,45.4,61.8,35.8,4.8,17.1,17,0.537,3.577,402.79,83.1,21.5084869380081,24.6461380776824,11.7,77.5,13.5,65,100,16,3.5,16.004742145821,49.6,8.6,100,,,30000,0.196611432759529,4.4,2.49,89,111.11,28.33333333,20626564,13.214286,36.2,16.5,5.0578203576997,28,6.8,0.353736389746754,67,22,65,30,17,541.026063549607,42.9,80,67,,10.9444735114772,55.1803923512982,21.26917547,51.9,613.388725831698,601.646642894271,2.25998249004871,77,18.8156,yellow,yellow,yellow,orange,orange,green,gray,yellow,orange,orange,orange,orange,gray,yellow,red,yellow,yellow,yellow,yellow,green,green,green,yellow,yellow,orange,orange,orange,yellow,green,yellow,orange,red,green,yellow,green,,,green,orange,green,yellow,yellow,orange,orange,yellow,yellow,orange,yellow,yellow,orange,green,orange,yellow,red,orange,orange,orange,orange,yellow,yellow,yellow,,red,green,green,green,red,red,orange,orange,yellow
Frankfurt,61.2,24,Central and Eastern Europe,77.9,63.2,74.3,62.7,45.4,99.5,25.0,85.7,76.4,70.8,57.8,75.2,35.9,28.9,65.4,4.2,14.4,14.7,0.205,2.111,399.02,81.9,18.6736137677074,39.3151803025596,10.7,84.2,6.2,,95.4,9.5,4.25,24.7754137115839,32.7,8.3,100,99.7,,53000,0.0077832813151,1.3,3.11,94,246.472,32.66666667,25319556,48.285714,31.7,18.25526867,13.654132247528,34,17.9,0.909814316403545,79,,88,38,20,392.377110038652,67.6,64.2,77,10,18.1920240802917,19.1065098291976,36.79085336,13.7,285.844647168576,132.534145195501,1.76531136018598,,84.0277,yellow,yellow,green,orange,orange,green,gray,yellow,yellow,yellow,orange,yellow,red,orange,yellow,yellow,green,yellow,green,green,green,green,green,green,orange,yellow,green,,green,orange,yellow,red,yellow,yellow,green,green,,green,orange,green,green,green,green,orange,green,green,yellow,orange,orange,orange,red,yellow,green,,orange,orange,yellow,yellow,green,orange,yellow,red,orange,orange,orange,red,yellow,yellow,yellow,,yellow
Brussels,60.4,25,Western Europe,61.1,70.0,65.7,56.1,61.6,99.7,34.5,70.6,54.1,56.5,52.4,64.6,51.9,35.5,31.1,9,,12.5,0.142,3.053,381.86,81.3,20.929320837493,27.7060650067194,12.9,72.9,13.3,65,99.1,12.6,5.5,12.9970072680633,41.6,11.4,,99.8,,51000,-0.874628928121763,8.3,1.79,85,94.778,37,25034813,37.214286,37.4,18.247265666,4.38376011316552,19,14.7,0.40864151714418,71,27,161,98,21,293.831886500118,53.7,80,0,7.5,60.336832775261,17.9351504337661,48.75038454,0,967.896622035785,727.715485428594,2.50188683965824,78,20.1588,orange,yellow,yellow,orange,orange,green,gray,orange,orange,orange,orange,orange,red,red,red,orange,,yellow,green,green,green,green,yellow,green,orange,orange,orange,yellow,green,orange,yellow,orange,green,orange,,green,,green,red,orange,orange,yellow,orange,orange,green,green,orange,orange,yellow,red,orange,orange,yellow,orange,yellow,green,yellow,green,green,yellow,red,red,green,orange,red,red,red,red,orange,orange,yellow
Bratislava,60.2,26,Central and Eastern Europe,84.1,45.2,72.4,53.2,47.4,91.8,25.0,96.8,34.0,83.8,39.4,61.8,46.0,65.6,67.4,4.3,8.6,20.5,0.235,2.688,655.75,78.9,,,4.7,96.2,7.9,55,81.8,5.8,0,19.6564885496183,22.2,5.59999999999999,99.9898908208653,94.6,,36000,1.82146944221007,2,1.84,85,9.513,13,21282109,6.1428571,26.5,18.3326764137172,7.46159079103503,14,7.8,0.482947287082562,54,20,124,36,2,428.251273015935,29.8,59.8,95,,33.498670424474,27.5267296025247,16.53372147,63,49.5410442878241,40.5052563359568,2.02526281679784,84,-64.619,yellow,orange,yellow,red,orange,yellow,gray,green,orange,green,red,orange,gray,yellow,orange,yellow,green,orange,green,green,green,yellow,,,green,green,green,red,orange,red,red,red,orange,yellow,green,yellow,,green,green,green,orange,yellow,red,orange,green,orange,green,orange,yellow,red,yellow,orange,orange,red,yellow,orange,red,yellow,orange,orange,green,,yellow,yellow,green,green,green,green,yellow,green,orange
Prague,60.1,27,Central and Eastern Europe,82.6,28.2,75.6,71.5,34.3,95.5,25.0,84.1,57.2,85.3,74.0,50.4,36.5,44.6,65.7,4.5,9.4,26,0.131,1.631,694.78,80.6,25.1592832759919,32.1291052727262,1.6,97.6,2,75,88.7,11.3,3.75,21.1666666666667,26.2,15.5,100,97,,25000,0.524287832790624,0.5,2.97,89,30.548,54.66666667,23368954,13.214286,25.9,18.618258884,3.85017937605379,28,13.4,0.437326436070684,86,57,340,309,136,353.39673212721,34.1,21.2,71.8,9.9,54.9317923186344,15.4483008681989,32.47889934,13.7,214.992799732606,60.3666669790427,1.2495041030591,82,-33.596,yellow,red,yellow,orange,red,green,gray,yellow,orange,green,orange,orange,red,orange,yellow,yellow,green,red,green,green,green,green,red,green,green,green,green,green,yellow,orange,orange,red,orange,red,green,green,,green,orange,green,yellow,yellow,red,yellow,green,yellow,green,orange,green,orange,orange,orange,green,green,green,green,green,yellow,orange,red,yellow,red,yellow,orange,orange,red,yellow,green,green,yellow,orange
Madrid,59.7,28,Southern Europe,66.0,62.5,73.2,55.9,66.1,100.0,60.9,82.0,57.2,59.5,60.5,70.9,43.6,51.0,55.3,6,20.6,14.9,0.193,3.272,463.22,85.2,22.2284793852181,34.5802106241693,13.9,72.9,10.4,50,98.1,11.5,9.25,16.2528216704289,46.1,8,99.9999999999999,,61.86,32000,0.392199507632487,6.1,1.72,89,38.294,119,20275966,13.571429,36.2,9.94610258166667,5.98571113029923,37,11.3,0.163660106984303,72,23,376,112,137,391.659015063118,33.5,75,96.5,8.8,18.3001770421939,28.2514176131197,28.08332093,53.5,200.792423710459,321.638429122359,0.787421269452779,80,41.9102,yellow,yellow,yellow,orange,orange,green,green,yellow,orange,orange,orange,yellow,red,orange,orange,yellow,yellow,yellow,green,green,green,green,yellow,green,orange,orange,yellow,red,green,orange,green,red,green,yellow,green,,green,green,orange,yellow,orange,yellow,orange,green,yellow,yellow,orange,green,yellow,yellow,yellow,red,green,orange,green,green,green,yellow,orange,yellow,green,red,orange,yellow,yellow,green,green,red,green,yellow,yellow
Tallinn,59.5,29,Central and Eastern Europe,68.7,43.0,69.4,56.2,40.5,95.3,25.0,89.1,37.7,68.3,57.5,69.9,46.0,52.9,73.3,3.9,23.4,21.2,0.094,2.178,345.65,78,19.2978071756177,39.28066513118,10.8,88.8,9.4,61,90.6,17.2,0,27.2251308900524,26.7,6.5,100,96.9,,23000,3.25347456987837,1.9,1.49,88,23.609,25.33333333,13712215,,32.7,8.22038567,9.26389016438608,17,5.9,0.788038264397117,71,46,87,86,11,512.357632848656,28.1,100,99.5,,19.8250728862974,25.2150976574766,35.45311813,73.4,209.213672843335,74.9276874834271,,93,13.1276,yellow,orange,yellow,orange,orange,green,gray,yellow,orange,yellow,orange,orange,gray,orange,yellow,green,yellow,orange,green,green,green,orange,green,green,orange,yellow,green,orange,yellow,yellow,red,red,orange,yellow,green,green,,yellow,green,green,orange,yellow,red,orange,orange,,yellow,green,orange,red,green,yellow,yellow,green,orange,green,orange,orange,orange,green,green,,orange,orange,orange,green,yellow,yellow,,green,orange
Barcelona,59.1,30,Southern Europe,67.3,62.5,71.7,52.8,63.0,100.0,82.9,82.5,52.8,59.5,60.3,45.6,54.5,36.9,52.5,6,19.4,14.9,0.255,1.633,326.11,83.9,20.8314224169347,36.5651406213585,17,60.8,13.7,59,97.2,7.7,12,17.2009382329945,43.7,8.10000000000001,100,,83.3,28000,0.736116073381402,6.3,1.52,84,70.872,200.3333333,,,36.2,15.2506366116667,6.79537490037126,31,11.3,0.378117966229499,76,24,283,139,93,453.08352907455,33.5,41,51.2,7.1,45.2169438404123,24.6561385634233,56.22465614,22.5,247.037071269939,406.431147275669,1.0229278313455,84,-5.05,yellow,yellow,yellow,red,orange,green,green,yellow,orange,orange,orange,orange,red,orange,orange,yellow,yellow,yellow,green,green,green,green,yellow,green,red,red,orange,orange,green,red,green,red,green,yellow,green,,green,green,orange,yellow,orange,yellow,orange,green,,,orange,yellow,yellow,orange,yellow,orange,green,orange,green,green,green,orange,orange,red,orange,red,yellow,orange,red,orange,yellow,red,green,green,orange
Warsaw,57.8,31,Central and Eastern Europe,71.7,37.2,60.5,60.4,61.1,91.0,5.9,88.1,52.2,69.8,49.0,58.7,51.9,20.6,63.8,6,15.5,23.1,0.375,3.331,281.13,78.4,20.309884345865,37.6188604310659,3.9,93.6,7.4,61,91,5.7,2.25,10.8562691131498,37.3,11.3,,,8.2,22000,2.70569882883098,1.5,1.74,84,36.415,120.3333333,20433918,7.9285714,32.1,26.29567719,6.57320959156227,24,9,0.142828985142929,76,30,118,60,19,300.038837368232,33.8,94.4,2.2,7.5,12.0931252862259,20.5922718574218,42.39786983,3,,66.7868334528336,,90,-61.361,yellow,orange,yellow,orange,orange,gray,red,yellow,orange,yellow,red,orange,red,red,yellow,yellow,yellow,orange,yellow,green,yellow,orange,yellow,green,green,green,green,orange,yellow,red,orange,yellow,yellow,orange,,,red,yellow,green,green,orange,yellow,orange,green,yellow,orange,yellow,red,yellow,orange,yellow,red,green,orange,yellow,yellow,yellow,green,orange,green,red,red,orange,orange,red,red,,green,,green,orange
Zagreb,57.1,32,Central and Eastern Europe,53.4,46.7,59.6,44.2,65.3,83.6,25.0,55.4,25.4,72.3,53.3,48.3,46.0,77.8,65.4,8.2,26.4,20,0.25,3.571,333.73,77.6,,,3.7,81.4,14.4,71,61.1,2.6,0.5,5.63847429519071,32,9.9,,91,,15000,-0.659204600043196,4.8,1.09,78,0.631,,20699998,1.8571429,31.1,21.8365808627955,7.69300774125968,50,5.9,0.111989468012697,76,31,56,39,13,394.584631664855,23.5,,,,87.4054644493849,34.2555481043652,13.71112428,,160.642670227102,96.1865097486832,1.49319290683596,94,-113.359,orange,orange,yellow,red,orange,orange,gray,orange,red,yellow,orange,orange,gray,yellow,orange,orange,orange,orange,green,green,green,orange,,,green,yellow,orange,yellow,red,red,red,green,yellow,orange,,orange,,orange,red,green,orange,orange,red,,yellow,red,yellow,orange,yellow,green,green,red,green,yellow,orange,orange,orange,yellow,red,,,,green,yellow,green,,green,yellow,green,green,red
Vilnius,56.8,33,Central and Eastern Europe,41.6,27.2,60.7,51.7,63.0,97.1,25.0,82.0,26.8,56.5,48.9,88.5,46.0,56.7,42.2,11.2,29.6,26.3,0.348,3.081,446.69,74.9,24.1787812586986,39.4457332712875,5.4,94.8,9.1,52,84.5,5.9,0.25,11.9565217391304,20.7,0.399999999999991,100,98.1,,19000,4.79710911173115,2.7,1.04,75,21.901,17,15676871,,37.4,22.98863579,3.85899404009391,33,5.6,0.111777220547634,56,39,83,44,9,366.820715962441,48.1,100,98.7,,18.7258058680945,38.8237939390911,24.2013391,51.6,222.93345653667,143.57162994785,5.96145176254047,80,-61.191,orange,red,orange,red,orange,green,gray,yellow,red,orange,orange,yellow,gray,yellow,orange,orange,orange,red,yellow,green,green,red,orange,green,yellow,green,green,red,yellow,red,red,orange,orange,green,green,green,,yellow,green,green,orange,red,red,orange,orange,,orange,orange,green,orange,green,red,orange,green,orange,orange,orange,yellow,yellow,green,green,,orange,green,yellow,green,yellow,yellow,red,yellow,orange
Milan,56.8,34,Southern Europe,50.6,77.4,66.5,59.1,43.8,100.0,37.6,69.9,53.1,71.5,69.8,48.7,48.7,19.3,60.9,11.9,19.7,10.1,0.392,2.081,366.76,84,,,12,64.1,14.2,,91.9,8.7,11.75,9.74658869395712,21.3,15.8,,,39.1,45000,-1.96279407350415,3.3,1.27,84,97.162,196.6666667,,,31.4,30.181780245,5.7057649342022,,11.7,0.571748004552854,,,346,117,47,504.714117684647,45.1,57.4,30.1,8,,4.83941926968764,50.79641443,29.3,414.804984766197,75.7947318169995,0.658737463776925,,-54.156,orange,yellow,yellow,orange,orange,gray,yellow,orange,orange,yellow,orange,orange,red,red,orange,orange,yellow,yellow,yellow,green,green,green,,,orange,red,orange,,yellow,orange,green,yellow,orange,red,,,yellow,green,red,green,orange,yellow,orange,green,,,yellow,red,yellow,,yellow,orange,,,green,green,green,orange,yellow,orange,red,red,,red,red,orange,red,yellow,green,,orange
Turin,56.4,35,Southern Europe,48.1,80.5,63.6,46.5,51.3,100.0,46.7,68.5,52.6,70.0,55.4,50.1,60.3,21.0,50.4,11.9,22,9.1,0.428,2.971,359.25,83.3,,,11.3,61.3,17.6,62,94.9,7.9,5.5,9.74658869395712,25.5,12.8,100,,48,30000,-1.84097173610207,5,2.16,82,116.659,60.66666667,22588096,6.5,32,25.7209582581213,2.45655031986913,42,11.7,0.215114469433331,63,38,109,67,19,480.321247258652,45.1,57.4,30.1,6.2,7.70013386880857,15.1161002614178,53.04343105,29.3,423.901873318451,84.1884601252218,0.956169639064174,68,-65.223,orange,green,yellow,red,orange,green,yellow,orange,orange,yellow,orange,orange,red,red,red,orange,yellow,green,yellow,green,green,green,,,orange,red,red,orange,yellow,red,yellow,yellow,orange,orange,green,,yellow,green,red,green,yellow,orange,orange,yellow,green,orange,yellow,red,green,yellow,yellow,orange,yellow,yellow,yellow,yellow,yellow,orange,yellow,orange,red,red,red,orange,red,orange,red,yellow,green,red,orange
Riga,56.3,36,Central and Eastern Europe,50.6,35.6,58.0,53.9,51.6,93.7,25.0,84.2,26.9,64.5,45.5,52.9,46.0,63.3,46.2,8.5,28.2,23.6,0.203,2.77,319.79,74.9,,,8.6,90.4,10.3,62,92.6,7.5,0,15.4589371980676,17.1,3.5,100,,,21000,5.53944778626662,3.3,0.63,79,26.991,18,15128167,,34.2,16.7957377,6.78276914292668,23,7,0.031180671725211,67,29,69,57,10,352.909710295898,25.2,100,2,,76.3604558176729,20.9540090075282,30.65393347,51.4,265.035709664293,102.896216693196,4.05348732427743,78,-66.852,orange,orange,orange,red,red,green,gray,yellow,red,yellow,orange,orange,gray,orange,orange,orange,orange,orange,green,green,green,red,,,yellow,green,yellow,orange,yellow,red,red,red,red,green,green,,,yellow,green,green,red,orange,red,orange,orange,,yellow,yellow,yellow,orange,green,red,yellow,orange,orange,yellow,orange,yellow,orange,green,red,,green,orange,orange,green,yellow,yellow,red,orange,orange
Budapest,55.4,37,Central and Eastern Europe,52.2,19.2,48.2,54.7,26.0,90.3,25.0,73.2,42.9,74.0,58.7,51.1,62.8,36.4,55.7,10.3,22.3,28.9,0.324,3.104,383.42,77.6,24.2745172308651,8.48022647036886,7.6,89.9,6.8,51,91.9,7.8,2.25,18.2724252491694,9.1,14.7,,95.45,,18000,0.643111577247955,1.3,1.88,89,44.903,20.66666667,20687517,12.785714,30.4,25,3.9201530139086,33,10.9,0.581957934711166,67,33,180,95,38,369.260779342131,35,79.5,3.2,5.8,54.6431749396977,13.5070323354205,45.29541518,9.7,308.551814795881,85.1256116263784,1.82575038340758,80,-76.416,orange,red,orange,red,red,yellow,gray,orange,orange,yellow,orange,orange,red,red,orange,orange,yellow,red,yellow,green,green,orange,orange,red,yellow,yellow,green,red,yellow,red,orange,red,red,red,,yellow,,yellow,orange,green,orange,yellow,orange,orange,yellow,yellow,yellow,orange,green,orange,yellow,orange,yellow,yellow,green,green,green,yellow,orange,yellow,red,red,yellow,orange,red,red,orange,yellow,yellow,yellow,red
Sofia,55.2,38,Central and Eastern Europe,17.4,31.3,61.5,47.9,61.6,96.4,25.0,67.9,26.7,56.5,45.7,63.8,66.7,68.3,28.6,23.4,29.3,25,0.299,2.478,436.82,75.7,,,4.7,91.9,8,47,79.9,4,0,10.7296137339056,25.8,5,,99.45,,13000,1.06177730797559,1.7,1.52,71,13.636,36.33333333,17535538,3.5,37.4,21.8637792,4.49335046837778,41,17.7,0.083104355650379,74,13,50,21,11,566.567179201627,36.2,100,69.7,5.2,61.6964909374215,29.8192570196305,25.64878504,48.5,780.349899557054,111.813133056873,1.43543887032472,63,-259.795,orange,orange,orange,red,orange,green,gray,orange,red,orange,red,orange,red,yellow,red,red,orange,orange,green,green,green,red,,,green,green,green,red,orange,red,red,yellow,orange,green,,green,,orange,yellow,green,orange,red,red,orange,yellow,orange,orange,orange,yellow,yellow,red,red,green,red,orange,orange,orange,red,orange,green,yellow,red,green,yellow,yellow,green,red,yellow,green,red,red
Lisbon,55.1,39,Southern Europe,56.9,18.6,68.6,52.1,61.8,100.0,57.0,63.6,31.0,61.3,49.7,52.6,66.0,31.3,54.1,8.2,23.3,29.1,0.238,2.527,619.06,81.7,25.7772784175085,25.3601241171787,10.8,60.3,8.2,66,80.6,12.8,5,12.6811594202898,26,3.39999999999999,100,,58,23000,-1.29373506592952,4.6,1.51,85,8.634,,,,35.5,11.15,6.51660543037447,14,7.9,0.889645343415508,54,15,163,88,54,621.026778546239,30.9,75,79.5,5.3,,14.6760895170789,62.52308598,49.4,118.560305726091,348.521221585844,1.02787709000198,81,-6.332,yellow,red,orange,orange,orange,green,green,orange,orange,orange,red,orange,red,orange,orange,orange,yellow,red,green,green,green,green,red,green,orange,red,green,yellow,orange,orange,yellow,orange,orange,green,green,,green,yellow,red,green,orange,yellow,red,,,,orange,yellow,yellow,red,yellow,yellow,orange,red,yellow,green,green,red,orange,yellow,yellow,red,,orange,red,green,green,red,green,yellow,orange
Rome,55.0,40,Southern Europe,40.4,82.0,66.3,44.6,45.5,100.0,40.8,59.6,48.0,73.5,46.7,36.3,57.1,38.5,44.4,11.9,28.9,8.6,0.449,2.863,458.27,83.2,,,11,69.7,18.2,50,89,9,6.75,6.70650730411686,19.6,16.2,,,42.2,35000,-3.83170823452853,5.9,1.6,82,29.049,72.66666667,21014116,13.5,30.6,17.017341975,3.49041946420308,19,11.7,0.245765822380676,30,19,795,191,94,589.653967510388,45.1,32.3,30.5,6.7,30.3363800396368,8.65033871808233,19.27109891,16.6,290.855193956587,103.846579013937,0.610363566449264,60,-151.16,orange,green,yellow,red,red,gray,yellow,orange,orange,yellow,red,red,red,orange,red,orange,orange,green,yellow,green,green,green,,,orange,orange,red,red,yellow,orange,green,green,red,red,,,yellow,green,red,yellow,orange,orange,red,yellow,green,yellow,yellow,yellow,green,red,yellow,orange,red,red,green,green,green,red,yellow,red,red,red,orange,red,green,orange,yellow,yellow,green,red,red
Bucharest,54.4,41,Central and Eastern Europe,38.1,39.0,64.6,43.8,57.2,37.1,25.0,84.7,31.8,60.3,45.0,61.5,60.9,32.2,58.4,14.3,25,22.5,,4.297,553.07,76.7,,,5.5,89.1,9.8,48,75.3,1.3,0.5,3.62537764350453,21.4,11.6,69.546792230724,82.4,,19000,4.28650134875299,0.6,0.92,88,15.751,24.66666667,17888110,5.3571429,35.9,22.8870034020149,2.45079669298505,42,9.6,0.043791704756327,48,19,105,47,24,,13.9,86.6,93.1,6.1,,7.85255072221758,62.98012858,59.5,136.027982899339,32.6248200434633,1.20427188079898,76,-222.701,orange,orange,orange,red,orange,red,gray,yellow,red,orange,red,orange,red,red,orange,red,orange,orange,,yellow,green,red,,,yellow,yellow,green,red,orange,red,red,green,orange,orange,red,red,,yellow,green,green,red,yellow,red,orange,yellow,orange,orange,orange,green,yellow,yellow,red,orange,red,yellow,orange,yellow,,red,green,green,red,,red,red,green,green,green,green,orange,red
Valletta,53.8,42,Southern Europe,74.8,19.2,64.5,43.3,30.5,100.0,53.8,89.5,24.5,76.5,40.4,5.2,50.8,43.5,70.5,3.4,19.2,28.9,0.411,,382.78,82.6,,,17.7,51.1,8.6,65,100,10.6,0,7.23306544202067,12.7,22.5,,100,,23000,4.09321398674123,1.6,0.77,85,10.359,24.33333333,,,29.4,,4.43786551424478,44,1.5,0.98109981289025,46,16,39,16,6,606.503470953599,6.4,13.3,0,,32.7593888498623,7.00878594249201,39.44269169,55.5,156.97597006244,45.3174675477877,0.93438077418119,78,19.5095,yellow,red,yellow,red,red,green,gray,yellow,red,green,red,red,gray,red,orange,green,yellow,red,yellow,,green,green,,,red,red,green,yellow,green,orange,red,green,red,red,,green,,yellow,green,green,red,yellow,red,orange,,,green,,yellow,yellow,green,yellow,orange,red,orange,orange,red,red,red,red,red,,orange,red,red,green,green,green,green,orange,yellow
Nicosia,53.7,43,Southern Europe,51.2,41.2,65.6,51.1,43.2,100.0,53.8,53.2,16.4,65.0,50.9,43.6,39.7,42.2,65.6,9.5,25.2,21.8,,,376.84,82.7,,,8.5,81.1,16.1,79,85.6,6.9,0,16.8445121951219,17.9,8.6,100,,,21000,-2.41591886171679,4.5,0.48,79,2.9,21.33333333,,,34,17.03178082,2.47770331950207,43,3.5,0.116986155858316,41,,135,63,13,,16.1,55,74.2,9.4,,11.7432708191624,27.81687883,40,378.099255734076,18.2498403138973,0.81890309100821,75,23.0092,orange,orange,gray,red,red,green,gray,orange,red,yellow,red,orange,red,orange,orange,orange,orange,orange,,,green,green,,,yellow,yellow,red,green,yellow,red,red,red,red,yellow,green,,,yellow,red,green,red,orange,red,orange,,,yellow,yellow,green,yellow,green,red,red,,yellow,yellow,orange,,red,orange,yellow,red,,red,yellow,yellow,orange,green,green,orange,yellow
